This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Thu Jan 09 13:58:15 2025
Filter Values: disposition contains CP

"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Stellar Mass (M_Sun)","Stellar Mass error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"251848941","178.01","","1","5","5","1","4","4","4","4.9","62.8","7.04","23","7","6","CP","CP","10.42","0.006","1","qlp-s69-ffi","QLP","7.302011","-30.454116","149.953","0.073","-87.253","0.042","2460196.437088","0.0018585","6.5578513","0.0000106","2.08","0.17","1.734219","0.087539","1596","80.6229","2.54474","0.244377","24.9125","622","18","62.699","0.20675","4111","171","4.55528","0.449348","0.66","0.06","","","0.68","0.0803989","2,29,69","TOI-178 d / TOI 178.01","2018-11-03","2023-11-02","2023-11-03"
"251848941","178.02","","4","5","5","5","4","4","4","2.7","66.6","12.29","23","7","6","CP","CP","10.42","0.006","2","spoc","SPOC","7.302011","-30.454116","149.953","0.073","-87.253","0.042","2458354.55219","0.004083","20.708504","0.003165","2.236524","0.274134","1.800631","0.484506","1657.067907","446.14713","3.751004","1.518233","19.497772457568","535.93978662926","9.537692","62.699","0.20675","4111","171","4.55528","0.449348","0.701202","0.152166","","","0.68","0.0803989","2","TOI-178 g / TOI 178.02; half period of TOI-178 g in report but updated to match confirmed planet period","2018-11-03","2021-10-21","2022-12-14"
"251848941","178.03","","4","5","5","5","4","4","4","2.6","47.3","5.83","23","7","6","CP","CP","10.42","0.006","3","spoc-s01-s69-b0A-KP","SPOC","7.302011","-30.454116","149.953","0.073","-87.253","0.042","2458362.954199","0.0020342893","9.961634689233","0.000022709188","2.464805194329","0.39346996","1.178047","0.102269","1084.4327061597","94.1892","2.2807326641027","0.9848358","21.820185108045","551.23191876812","11.135912","62.699","0.20675","4111","171","4.55528","0.449348","0.6608060002327","0.0596206","","","0.68","0.0803989","2,29,69","TOI-178 e / TOI-178.03","2018-11-03","2024-10-02","2024-10-26"
"251848941","178.04","","5","5","5","5","5","5","5","3.1","40.4","2.91","23","7","6","CP","KP","10.42","0.006","4","spoc","SPOC","7.302011","-30.454116","149.953","0.073","-87.253","0.042","2458356.107512","0.0021821528","3.2384253154792","0.00002430697","1.9941055488109","0.3307548","0.578589","0.075049","532.75806233683","69.12007","1.5148369144697","1.6900105","97.61593787232","801.67793856037","7.2096095","62.699","0.20675","4111","171","4.55528","0.449348","0.6608060002327","0.0596206","","","0.68","0.0803989","2,29","TOI-178 c / TOI-178.04","2021-11-18","2021-11-18","2022-12-14"
"207141131","179.01","","1","5","5","1","4","4","4","16.6","161.5","7.65","10","9","8","CP","CP","8.1796","0.006","1","spoc-s01-s36-b0A-PC","SPOC/QLP","44.262014","-56.191869","-36.676","0.042","50.599","0.045","2458354.588198","0.000321959","4.1374379166706","0.000004197856","1.8454937264933","0.11862802","1.222723","0.035281","1125.5354645185","32.49457","2.6757658530281","0.70166904","168.33617536627","918.67968642356","31.719687","38.5653","0.0366","5058","181","4.51761","0.282094","0.80263298749924","0.0479623","","","0.85","0.103514","2,3,29,30","HD 18599 b","2018-12-20","2024-09-09","2024-09-10"
"279741379","186.01","","3","5","5","3","4","4","4","4.8","195.9","9.84","1","13","3","CP","CP","6.9934","0.006","1","qlp-s69-ffi","SPOC/QLP","51.750188","-63.500166","355.084","0.045","-247.46","0.049","2460202.210988","0.0008449","35.6134391","0.0000324","3.512","0.737","1.711383","0.087917","1575","80.9712","3.12194","0.291907","10.8612","505","39","16.32","0.0071","4628.53","91.9226","4.32239","0.236802","0.71","0.06","0.00265487","0.0526804","0.73","0.0877794","1,2,3,4,28,29,30,34,61,64,68,69","GJ 143 b / TOI 186.01","2018-12-04","2023-11-02","2023-11-03"
"279741379","186.02","","1","5","5","1","4","4","4","2.8","16.4","0.95","1","13","3","CP","CP","6.9934","0.006","2","qlp-s69-ffi","SPOC","51.750188","-63.500166","355.084","0.045","-247.46","0.049","2460201.824941","0.0026809","7.7897726","0.0000193","2.376","0.744","0.210653","0.021358","194","19.6709","1.00084","0.107854","144.765","966","10","16.32","0.0071","4628.53","91.9226","4.32239","0.236802","0.71","0.06","0.00265487","0.0526804","0.73","0.0877794","1,2,3,4,28,29,30,34,61,64,68,69","HD 21749 c / TOI 186.02","2020-07-09","2023-11-15","2023-12-08"
"183985250","193.01","","1","5","5","1","4","4","4","487.7","957.3","111.98","12","9","2","CP","CP","9.1031","0.006","1","qlp-s69-ffi","SPOC/QLP","358.668877","-37.628224","247.615","0.076","-69.801","0.062","2460206.061059","0.0002447","0.7920646","2e-7","0.466","0.108","1.590682","4.865462","1464","4471.23","12.9674","","1013.69","1571","56","80.4373","0.3162","5422","185","4.42223","0.273742","0.98","","","","0.93","","2,29,69","LTT 9779 b","2018-11-03","2023-11-02","2023-11-03"
"441462736","197.01","","4","5","5","5","4","5","4","28.5","92.4","53.04","3","40","3","CP","CP","7.3566","0.006","1","spoc","UNKNOWN","353.033186","-21.801201","-96.775","0.101","51.24","0.091","2458357.014054","0.0022052974","14.278121996244","0.003338778","8.6972717710741","0.21654366","0.899282","0.048272","827.92644256564","44.459335","8.3566077534832","0.8052116","91.654181406546","789.14683727736","14.3883705","95.5483","0.7309","5105","181","3.39182","0.291381","2.9032399654388","","","","","","2,29","HD 221416 b; evolved star","2018-10-22","2021-12-02","2022-12-14"
"309792357","199.01","","3","4","3","3","4","4","4","3","104","74.5","13","2","1","CP","CP","10.0391","0.006","1","qlp-s69-ffi","SPOC","80.105873","-59.895433","45.702","0.037","58.455","0.038","2460038.977062","0.0003971","104.8729635","0.0000414","6.554","0.174","13.30876","0.181536","12183","167.187","10.223","0.600463","2.75278","358","262","102.27","0.1905","5350","184","4.52347","0.275691","0.88","0.05","","","0.88","0.106682","1,2,3,4,5,6,7,8,9,10,11,12,13,27,29,30,31,32,33,34,35,36,37,39,61,62,63,64,66,67,68,69","TOI-199 b (https://arxiv.org/pdf/2309.14915.pdf)","2018-12-04","2023-11-16","2023-12-08"
