HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux,flux_err,Filter
2459643.83659,2022-03-05.3319906,bC,1.38,15.639,11.664,0.013,78.382,0.900,g
2459645.06673,2022-03-06.5621381,bC,1.57,15.691,11.697,0.013,76.047,0.893,g
2459645.06799,2022-03-06.5633905,bC,1.51,15.694,11.694,0.013,76.261,0.896,g
2459645.06923,2022-03-06.5646396,bC,1.52,15.693,11.706,0.013,75.453,0.874,g
2459647.88243,2022-03-09.3778459,bC,1.44,15.679,11.721,0.013,74.354,0.856,g
2459647.88369,2022-03-09.3791098,bC,1.39,15.696,11.731,0.013,73.723,0.854,g
2459647.88496,2022-03-09.3803748,bC,1.43,15.703,11.729,0.013,73.851,0.843,g
2459648.80772,2022-03-10.3031410,bs,1.50,15.689,11.714,0.012,74.897,0.787,g
2459648.80896,2022-03-10.3043853,bs,1.49,15.683,11.712,0.012,75.036,0.833,g
2459648.81021,2022-03-10.3056353,bs,1.48,15.708,11.743,0.012,72.921,0.825,g
2459649.84263,2022-03-11.3380618,bs,1.44,15.695,11.752,0.012,72.292,0.822,g
2459649.84387,2022-03-11.3393039,bs,1.47,15.688,11.761,0.012,71.709,0.800,g
2459649.84511,2022-03-11.3405398,bs,1.51,15.687,11.734,0.012,73.508,0.815,g
2459650.89603,2022-03-12.3914636,bs,1.63,15.680,11.746,0.012,72.755,0.801,g
2459650.89727,2022-03-12.3927103,bs,1.63,15.686,11.759,0.011,71.847,0.743,g
2459650.89851,2022-03-12.3939518,bs,1.65,15.682,11.756,0.012,72.040,0.765,g
2459651.95658,2022-03-13.4520305,bs,1.45,15.679,11.745,0.012,72.739,0.823,g
2459651.95782,2022-03-13.4532745,bs,1.50,15.672,11.749,0.012,72.554,0.820,g
2459651.95906,2022-03-13.4545114,bs,1.47,15.679,11.748,0.012,72.609,0.826,g
2459654.79714,2022-03-16.2926270,bC,1.37,15.233,11.729,0.015,73.835,0.989,g
2459655.82943,2022-03-17.3249285,bC,1.49,15.359,11.712,0.014,75.052,0.963,g
2459655.83070,2022-03-17.3261925,bC,1.56,15.408,11.707,0.014,75.350,0.953,g
2459655.83195,2022-03-17.3274484,bC,1.58,15.385,11.730,0.014,73.773,0.958,g
2459656.95569,2022-03-18.4512052,bC,1.50,15.503,11.691,0.014,76.456,0.967,g
2459657.95551,2022-03-19.4510476,bC,1.44,15.467,11.669,0.014,78.012,0.996,g
2459657.95676,2022-03-19.4523012,bC,1.49,15.537,11.671,0.013,77.899,0.960,g
2459657.95802,2022-03-19.4535517,bC,1.54,15.520,11.681,0.013,77.174,0.942,g
2459659.92528,2022-03-21.4208562,bC,1.46,15.606,11.649,0.013,79.536,0.931,g
2459659.92654,2022-03-21.4221181,bC,1.44,15.600,11.642,0.013,80.065,0.941,g
2459659.92781,2022-03-21.4233780,bC,1.43,15.616,11.654,0.013,79.145,0.926,g
2459661.90373,2022-03-23.3993478,bC,1.47,15.352,11.615,0.010,82.019,0.768,g
2459661.90497,2022-03-23.4005943,bC,1.49,15.534,11.624,0.014,81.357,1.048,g
2459661.90622,2022-03-23.4018501,bC,1.52,15.613,11.627,0.013,81.192,0.960,g
2459663.77282,2022-03-25.2684855,bs,1.45,15.640,11.620,0.011,81.681,0.861,g
2459663.77406,2022-03-25.2697285,bs,1.47,15.647,11.631,0.011,80.897,0.863,g
2459663.77530,2022-03-25.2709642,bs,1.45,15.624,11.595,0.012,83.522,0.935,g
2459664.79633,2022-03-26.2920231,bs,1.46,15.511,11.592,0.013,83.841,0.966,g
2459664.79755,2022-03-26.29325,bs,1.46,15.529,11.620,0.013,81.655,0.938,g
2459664.79879,2022-03-26.2944920,bs,1.45,15.567,11.572,0.012,85.381,0.945,g
2459665.85365,2022-03-27.3493790,bs,1.45,15.630,11.622,0.012,81.538,0.881,g
2459665.85488,2022-03-27.3506106,bs,1.46,15.620,11.605,0.011,82.867,0.876,g
2459665.85612,2022-03-27.3518488,bs,1.47,15.611,11.599,0.012,83.275,0.933,g
2459666.84767,2022-03-28.3434281,bs,1.47,15.601,11.635,0.011,80.550,0.825,g
2459666.84890,2022-03-28.3446594,bs,1.47,15.587,11.583,0.011,84.538,0.899,g
2459666.85014,2022-03-28.3458968,bs,1.47,15.595,11.612,0.012,82.213,0.879,g
2459669.93226,2022-03-31.4281163,bC,1.45,15.651,11.607,0.012,82.642,0.938,g
2459669.93353,2022-03-31.4293784,bC,1.53,15.643,11.623,0.012,81.418,0.909,g
2459669.99866,2022-03-31.4945118,bC,1.60,15.622,11.611,0.012,82.338,0.900,g
2459672.98221,2022-04-03.4781686,bC,1.51,15.658,11.637,0.013,80.409,0.939,g
2459672.98347,2022-04-03.4794335,bC,1.48,15.647,11.622,0.013,81.482,0.960,g
2459672.98472,2022-04-03.4806918,bC,1.51,15.650,11.630,0.012,80.933,0.940,g
2459674.82329,2022-04-05.3193263,bs,1.48,15.626,11.651,0.012,79.370,0.869,g
2459674.82454,2022-04-05.3205746,bs,1.46,15.616,11.638,0.012,80.319,0.908,g
2459674.82577,2022-04-05.3218094,bs,1.48,15.613,11.621,0.011,81.571,0.869,g
2459674.88966,2022-04-05.3857004,bs,1.47,15.613,11.654,0.012,79.148,0.891,g
2459674.89090,2022-04-05.3869413,bs,1.45,15.609,11.652,0.013,79.310,0.906,g
2459674.89213,2022-04-05.3881715,bs,1.46,15.585,11.616,0.012,81.971,0.891,g
2459676.88811,2022-04-07.3842293,bs,1.44,15.612,11.693,0.013,76.344,0.888,g
2459676.88935,2022-04-07.3854663,bs,1.49,15.596,11.692,0.012,76.448,0.836,g
2459676.89059,2022-04-07.3867123,bs,1.48,15.607,11.695,0.012,76.245,0.864,g
2459678.68890,2022-04-09.1850994,bs,1.48,15.619,11.701,0.012,75.789,0.836,g
2459678.69015,2022-04-09.1863471,bs,1.48,15.602,11.673,0.012,77.787,0.883,g
2459678.69137,2022-04-09.1875760,bs,1.49,15.626,11.712,0.012,75.025,0.823,g
